,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,SEE1,SEE10,SEE2,SEE3,SEE4,SEE5,SEE6,SEE7,SEE8,SEE9
Participant Private ID,,,,,,,,,,
7814298.0,2,5,4,4,4,5,5,3,3,5
7814299.0,5,1,1,2,6,6,2,5,3,7
7814300.0,7,6,7,5,6,6,5,3,5,1
7814301.0,7,7,1,1,7,7,7,6,6,7
7814302.0,5,7,3,7,6,6,4,2,3,4
7814303.0,5,5,3,3,6,5,3,5,6,6
7814304.0,4,2,2,4,6,6,3,2,4,3
7814305.0,6,5,2,2,7,5,4,3,5,6
7814307.0,5,6,3,4,4,6,6,4,2,4
7814308.0,5,6,3,5,5,4,3,5,6,3
7814309.0,5,7,2,3,6,5,3,3,2,2
7814310.0,7,7,7,7,7,7,7,7,7,7
7814311.0,6,5,2,2,7,7,7,7,7,1
7814312.0,3,1,1,5,3,3,3,1,1,5
7814313.0,6,6,6,7,6,6,7,6,6,7
7814315.0,7,5,7,7,6,6,5,5,5,3
7814316.0,5,7,3,3,6,6,5,5,3,3
7814318.0,5,5,3,2,5,6,4,5,6,3
7814320.0,5,2,3,3,5,2,3,3,2,5
7814322.0,3,3,3,5,5,3,5,3,2,6
7814323.0,6,5,6,6,6,5,5,5,5,5
7814325.0,7,6,2,4,7,7,5,7,6,2
7814326.0,7,5,6,3,6,7,6,7,7,1
7814327.0,5,6,2,4,5,5,4,3,4,7
7814328.0,6,6,3,6,5,6,6,4,3,5
7814329.0,7,7,5,3,7,7,7,7,7,7
7814330.0,5,2,5,6,5,5,5,5,5,3
7814331.0,3,2,1,2,7,6,2,4,2,2
7814332.0,6,4,4,4,6,7,4,4,7,3
7814333.0,6,7,5,6,6,3,5,5,5,6
7814336.0,7,5,5,4,7,7,5,6,6,4
7814337.0,6,4,2,3,6,7,5,5,4,4
7814339.0,6,7,2,4,6,6,5,4,5,2
7814340.0,6,6,5,6,5,3,5,5,2,2
7814341.0,7,5,2,1,6,6,5,5,6,5
7814342.0,6,6,2,2,7,7,5,6,6,5
7814345.0,6,6,4,4,5,6,6,3,3,5
7814346.0,5,5,3,2,3,4,5,4,5,5
7814349.0,5,5,3,7,5,5,5,3,3,3
7814350.0,6,7,5,5,6,6,6,3,2,3
7814351.0,7,6,1,6,7,7,6,7,5,4
7814352.0,7,6,5,3,7,7,6,5,3,7
7814353.0,6,6,5,5,7,5,6,6,6,5
7814356.0,6,6,4,5,6,5,5,6,3,2
7814362.0,5,6,5,5,5,6,5,6,5,5
7814364.0,5,7,5,6,5,6,6,5,5,5
7814365.0,7,7,6,6,7,7,6,6,7,7
7814368.0,7,6,3,1,2,7,2,2,2,2
7814369.0,7,6,6,5,7,7,3,6,6,7
7814372.0,4,7,3,6,6,5,3,6,5,7
7814375.0,7,7,5,7,5,5,6,4,5,7
7814378.0,3,4,2,2,4,4,2,3,5,2
7814381.0,5,5,6,5,5,6,5,5,6,5
7814384.0,4,5,2,5,6,6,5,4,4,4
7814385.0,1,3,1,1,1,1,4,2,2,2
7814387.0,6,6,2,4,6,6,6,5,5,4
7814398.0,6,6,7,6,5,6,6,6,6,6
7814400.0,5,3,4,3,5,6,3,5,6,6
7814402.0,5,5,6,5,3,5,6,5,3,6
7814403.0,7,7,2,2,5,7,4,4,5,3
7814404.0,6,5,5,3,5,6,4,5,3,5
7814405.0,6,6,6,3,5,6,2,6,3,6
7814407.0,7,4,3,2,7,6,5,5,6,3
7814408.0,6,6,2,2,7,7,6,6,6,5
7814413.0,3,5,1,4,5,5,5,3,3,4
7814414.0,5,6,3,2,5,6,5,5,3,7
7814415.0,6,6,6,6,2,3,7,6,5,6
7814416.0,6,5,1,1,7,7,5,6,6,5
7814422.0,5,7,6,6,5,6,6,7,6,6
7814426.0,2,6,2,6,4,4,3,4,5,3
