,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,SEE1,SEE10,SEE2,SEE3,SEE4,SEE5,SEE6,SEE7,SEE8,SEE9,SEF1,SEF2,SEF3,SEF4,SEF5
Participant Private ID,,,,,,,,,,,,,,,
7814298.0,5.0,7.0,5.0,6.0,2.0,6.0,5.0,4.0,5.0,6.0,3.0,5.0,6.0,6.0,5.0
7814299.0,1.0,1.0,1.0,6.0,1.0,5.0,2.0,5.0,1.0,7.0,5.0,7.0,7.0,1.0,6.0
7814300.0,4.0,6.0,2.0,6.0,3.0,6.0,6.0,5.0,1.0,1.0,7.0,6.0,5.0,5.0,5.0
7814301.0,1.0,5.0,1.0,1.0,1.0,6.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0
7814302.0,1.0,7.0,2.0,7.0,3.0,7.0,6.0,2.0,5.0,2.0,1.0,6.0,7.0,4.0,7.0
7814303.0,3.0,6.0,3.0,3.0,1.0,7.0,6.0,6.0,5.0,1.0,6.0,6.0,6.0,7.0,7.0
7814304.0,2.0,5.0,1.0,5.0,5.0,2.0,4.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0
7814305.0,1.0,4.0,1.0,4.0,2.0,3.0,6.0,2.0,1.0,4.0,6.0,6.0,7.0,2.0,6.0
7814307.0,2.0,7.0,5.0,4.0,5.0,6.0,6.0,4.0,2.0,2.0,2.0,5.0,6.0,4.0,6.0
7814308.0,2.0,5.0,2.0,3.0,7.0,7.0,7.0,6.0,2.0,1.0,6.0,7.0,5.0,5.0,6.0
7814309.0,1.0,7.0,1.0,2.0,3.0,6.0,3.0,4.0,2.0,3.0,1.0,7.0,6.0,6.0,7.0
7814310.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7814311.0,1.0,2.0,1.0,6.0,5.0,7.0,5.0,5.0,3.0,1.0,1.0,5.0,6.0,2.0,6.0
7814312.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,7.0,7.0,3.0,6.0,2.0,3.0
7814313.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
7814315.0,7.0,4.0,6.0,6.0,6.0,6.0,3.0,5.0,2.0,3.0,7.0,7.0,7.0,3.0,5.0
7814316.0,2.0,7.0,1.0,5.0,3.0,7.0,3.0,3.0,3.0,2.0,1.0,6.0,5.0,3.0,6.0
7814318.0,1.0,3.0,1.0,5.0,5.0,6.0,3.0,3.0,5.0,5.0,4.0,6.0,5.0,1.0,5.0
7814320.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,6.0,2.0,2.0,5.0
7814322.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,2.0,5.0,6.0,5.0,6.0,3.0,4.0
7814323.0,3.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0
7814325.0,1.0,5.0,1.0,7.0,4.0,4.0,6.0,6.0,2.0,5.0,4.0,7.0,7.0,4.0,7.0
7814326.0,4.0,2.0,4.0,7.0,4.0,2.0,6.0,3.0,1.0,7.0,7.0,3.0,7.0,1.0,2.0
7814327.0,1.0,5.0,1.0,5.0,6.0,5.0,4.0,2.0,2.0,7.0,1.0,3.0,5.0,3.0,3.0
7814328.0,7.0,6.0,3.0,5.0,6.0,6.0,6.0,3.0,2.0,5.0,5.0,6.0,6.0,5.0,7.0
7814329.0,3.0,5.0,2.0,1.0,7.0,6.0,6.0,3.0,3.0,7.0,7.0,3.0,5.0,2.0,6.0
7814330.0,2.0,1.0,6.0,7.0,5.0,2.0,6.0,6.0,1.0,5.0,7.0,7.0,7.0,2.0,6.0
7814331.0,2.0,6.0,1.0,3.0,5.0,7.0,4.0,6.0,3.0,1.0,2.0,7.0,5.0,5.0,7.0
7814332.0,6.0,1.0,5.0,6.0,7.0,2.0,6.0,7.0,1.0,2.0,6.0,5.0,6.0,1.0,5.0
7814333.0,5.0,7.0,6.0,7.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0
7814336.0,2.0,5.0,2.0,6.0,5.0,5.0,6.0,4.0,3.0,1.0,6.0,7.0,7.0,1.0,4.0
7814337.0,1.0,6.0,1.0,2.0,2.0,7.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,5.0
