Participant Private ID,Anger,Conservatives,Fear,Firefighter,Healthcare,Immigration,Joy,Liberals,Love,Neighbors,Police,Religion,Sadness,Science,Trust,Voting
7814298.0,"[226, 592]","[99, 502]","[134, 895]","[226, 749]","[392, 884]","[391, 375]","[416, 565]","[476, 503]","[508, 673]","[286, 983]","[219, 476]","[298, 741]","[91, 731]","[471, 864]","[430, 673]","[344, 608]"
7814299.0,"[205, 102]","[104, 320]","[309, 99]","[147, 507]","[197, 319]","[474, 333]","[233, 722]","[18, 316]","[48, 721]","[325, 513]","[226, 510]","[328, 722]","[115, 101]","[387, 328]","[135, 724]","[304, 323]"
7814300.0,"[364, 305]","[30, 200]","[183, 159]","[457, 6]","[539, 7]","[125, 39]","[336, 125]","[35, 31]","[403, 41]","[427, 368]","[481, 94]","[310, 207]","[219, 43]","[564, 90]","[311, 44]","[113, 156]"
7814301.0,"[246, 702]","[271, 721]","[289, 690]","[303, 435]","[483, 281]","[412, 342]","[126, 283]","[382, 170]","[178, 292]","[31, 425]","[256, 792]","[170, 519]","[394, 559]","[336, 312]","[227, 291]","[483, 382]"
7814302.0,"[269, 725]","[242, 883]","[350, 689]","[222, 451]","[385, 331]","[253, 308]","[28, 355]","[208, 195]","[90, 407]","[173, 508]","[331, 945]","[395, 863]","[238, 627]","[311, 375]","[115, 300]","[112, 568]"
7814303.0,"[97, 406]","[194, 410]","[84, 295]","[253, 576]","[419, 377]","[424, 487]","[401, 121]","[342, 434]","[316, 99]","[180, 154]","[315, 588]","[176, 282]","[92, 170]","[409, 242]","[323, 219]","[336, 328]"
7814304.0,"[435, 501]","[455, 510]","[435, 366]","[32, 41]","[679, 40]","[471, 628]","[473, 29]","[549, 37]","[487, 146]","[204, 479]","[445, 406]","[108, 277]","[204, 276]","[207, 54]","[117, 35]","[588, 40]"
7814305.0,"[357, 755]","[453, 700]","[220, 209]","[105, 393]","[60, 476]","[315, 620]","[447, 873]","[348, 662]","[492, 870]","[207, 510]","[140, 306]","[433, 771]","[108, 891]","[47, 566]","[166, 498]","[392, 626]"
7814307.0,"[48, 736]","[138, 707]","[83, 845]","[72, 300]","[340, 591]","[381, 382]","[175, 445]","[467, 271]","[302, 268]","[270, 480]","[239, 709]","[74, 588]","[336, 709]","[178, 305]","[236, 364]","[398, 475]"
7814308.0,"[512, 1011]","[608, 545]","[605, 712]","[451, 679]","[384, 457]","[524, 704]","[169, 607]","[229, 916]","[271, 447]","[290, 609]","[436, 840]","[516, 856]","[583, 874]","[211, 768]","[154, 452]","[316, 771]"
7814309.0,"[150, 962]","[227, 531]","[203, 906]","[256, 729]","[505, 680]","[499, 380]","[526, 946]","[449, 525]","[532, 856]","[355, 367]","[144, 728]","[157, 373]","[267, 920]","[545, 675]","[575, 893]","[319, 523]"
7814312.0,"[480, 365]","[396, 483]","[500, 445]","[214, 739]","[438, 857]","[418, 745]","[119, 299]","[404, 656]","[136, 367]","[195, 629]","[222, 831]","[203, 533]","[470, 284]","[505, 832]","[171, 439]","[384, 569]"
7814315.0,"[302, 290]","[102, 1115]","[166, 280]","[75, 952]","[45, 262]","[359, 78]","[472, 1116]","[616, 253]","[330, 1080]","[353, 955]","[225, 934]","[115, 54]","[258, 35]","[436, 276]","[195, 1052]","[511, 53]"
7814316.0,"[393, 1083]","[307, 1077]","[256, 1097]","[244, 919]","[258, 640]","[147, 561]","[353, 450]","[225, 342]","[493, 384]","[69, 534]","[371, 869]","[177, 1083]","[178, 804]","[150, 375]","[376, 286]","[483, 631]"
7814318.0,"[325, 315]","[55, 244]","[88, 496]","[304, 382]","[428, 144]","[236, 2]","[494, 41]","[235, 68]","[191, 447]","[70, 308]","[339, 396]","[178, 343]","[105, 556]","[391, 195]","[319, 560]","[335, 652]"
7814320.0,"[339, 305]","[78, 261]","[373, 371]","[45, 301]","[119, 303]","[322, 267]","[231, 363]","[72, 456]","[188, 342]","[179, 400]","[39, 240]","[80, 534]","[360, 355]","[205, 207]","[97, 471]","[77, 453]"
7814322.0,"[350, 641]","[132, 350]","[380, 770]","[72, 301]","[199, 441]","[425, 768]","[62, 329]","[311, 680]","[147, 356]","[205, 375]","[137, 357]","[96, 329]","[335, 769]","[322, 714]","[61, 307]","[215, 503]"
7814325.0,"[222, 721]","[201, 575]","[285, 509]","[106, 548]","[428, 300]","[56, 306]","[393, 509]","[195, 444]","[417, 755]","[494, 625]","[119, 426]","[337, 616]","[309, 747]","[332, 405]","[438, 513]","[36, 557]"
7814326.0,"[406, 206]","[40, 163]","[220, 209]","[183, 167]","[269, 150]","[125, 39]","[494, 41]","[331, 153]","[383, 35]","[126, 207]","[498, 207]","[310, 207]","[180, 173]","[588, 206]","[249, 155]","[588, 40]"
7814327.0,"[234, 314]","[276, 402]","[316, 289]","[85, 397]","[244, 621]","[346, 589]","[26, 655]","[261, 503]","[17, 552]","[152, 501]","[169, 398]","[71, 684]","[271, 202]","[160, 643]","[71, 539]","[353, 446]"
7814328.0,"[201, 291]","[88, 822]","[183, 209]","[88, 463]","[444, 612]","[297, 507]","[378, 310]","[366, 817]","[340, 394]","[294, 684]","[71, 591]","[351, 629]","[251, 151]","[447, 486]","[334, 299]","[238, 826]"
7814329.0,"[160, 134]","[465, 131]","[220, 209]","[359, 133]","[391, 29]","[125, 39]","[273, 24]","[679, 205]","[403, 41]","[97, 37]","[498, 207]","[282, 27]","[155, 154]","[334, 133]","[355, 132]","[588, 40]"
7814330.0,"[503, 1]","[462, 119]","[510, 91]","[88, 376]","[196, 270]","[185, 673]","[132, 674]","[679, 205]","[119, 565]","[161, 465]","[65, 475]","[275, 272]","[441, 23]","[47, 372]","[105, 476]","[89, 676]"
7814331.0,"[137, 373]","[50, 629]","[147, 549]","[360, 422]","[501, 162]","[363, 247]","[463, 701]","[567, 613]","[460, 531]","[321, 765]","[235, 423]","[49, 813]","[139, 702]","[581, 820]","[286, 947]","[343, 601]"
7814332.0,"[321, 377]","[77, 198]","[220, 209]","[491, 337]","[679, 40]","[803, 204]","[493, 28]","[750, 205]","[238, 16]","[404, 28]","[442, 341]","[310, 207]","[244, 376]","[714, 38]","[181, 17]","[15, 197]"
7814336.0,"[332, 43]","[33, 637]","[540, 39]","[143, 348]","[446, 40]","[125, 39]","[387, 350]","[22, 34]","[486, 349]","[44, 345]","[266, 646]","[148, 644]","[374, 641]","[603, 357]","[254, 347]","[228, 42]"
