Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Police,Firefighter,Neighbors,Conservatives,Liberals,Healthcare,Voting,Immigration,Religion,Science,Anger,Fear,Joy,Love,Sadness,Trust,TimedSection
1,1.68E+12,13/03/2023 01:09:26,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
2,1.68E+12,13/03/2023 01:09:27,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,1,1,1,Screen 1,advancementZone,continue_button,1090.4,null,,null,,0,1,0,null,null,FALSE,,,Instructions,,,,,,,,,,,,,,,,,
3,1.68E+12,13/03/2023 01:09:30,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,conceptE,drag_and_drop_main,3023.7,null,,"679px Top, 205px Left",1,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
4,1.68E+12,13/03/2023 01:09:34,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,conceptF,drag_and_drop_main,6846.4,null,,"679px Top, 40px Left",2,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
5,1.68E+12,13/03/2023 01:09:38,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,conceptG,drag_and_drop_main,10783.1,null,,"588px Top, 40px Left",3,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
6,1.68E+12,13/03/2023 01:09:40,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Science,drag_and_drop_main,13326.4,null,,"588px Top, 206px Left",4,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
7,1.68E+12,13/03/2023 01:09:43,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,conceptA,drag_and_drop_main,15999.1,null,,"498px Top, 207px Left",5,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
8,1.68E+12,13/03/2023 01:09:46,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Joy,drag_and_drop_main,18630.9,null,,"494px Top, 41px Left",6,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
9,1.68E+12,13/03/2023 01:09:50,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Anger,drag_and_drop_main,22919.5,null,,"406px Top, 206px Left",7,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
10,1.68E+12,13/03/2023 01:09:54,1.68E+12,-4,12/3/2023 21:09,,,,,28072389,,8334160,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,2133x1041,,SpAM,5,SpAM_16C_n-600,SpAM_16C_n-600,2,1,1,Screen 1,Love,drag_and_drop_main,26798.6,null,,"403px Top, 41px Left",8,0,1,0,,,FALSE,,,Trial,police.PNG,firefighter.PNG,neighbors.PNG,conservatives.PNG,liberals.PNG,healthcare.PNG,voting.PNG,immigration.PNG,religion.PNG,science.PNG,anger.PNG,fear.PNG,joy.PNG,love.PNG,sadness.PNG,trust.PNG,
