Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
1,1674075125546,18/01/2023 20:52:05,1674075125512,-5,18/01/2023 15:52:05,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1504x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674075158669,18/01/2023 20:52:38,1674075158717,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF1,6
3,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF2,6
4,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF3,4
5,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF4,2
6,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF5,3
7,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF6,4
8,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF7,4
9,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF8,4
10,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF9,2
11,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,SEF10,7
12,1674075158816,18/01/2023 20:52:38,1674075158718,-5,18/01/2023 15:52:38,110083,9,questionnaire-mzsc,,26471225,BLIND,7814437,,complete,lnqjif,3X1FV8S5J32YUNDRD2HNW3RH4TZVGI,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1504x1003,1487x860,,Socioenvironmental Concept Feelings,2,NonBlackIdentity,No,END QUESTIONNAIRE,33206
