Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
1,1674074003771,18/01/2023 20:33:23,1674074003597,-6,18/01/2023 14:33:23,110083,9,questionnaire-faea,,26470239,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074015383,18/01/2023 20:33:35,1674074015238,-6,18/01/2023 14:33:35,110083,9,questionnaire-faea,,26470239,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,7
3,1674074015507,18/01/2023 20:33:35,1674074015240,-6,18/01/2023 14:33:35,110083,9,questionnaire-faea,,26470239,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,5
4,1674074015507,18/01/2023 20:33:35,1674074015240,-6,18/01/2023 14:33:35,110083,9,questionnaire-faea,,26470239,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,5
5,1674074015507,18/01/2023 20:33:35,1674074015240,-6,18/01/2023 14:33:35,110083,9,questionnaire-faea,,26470239,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,END QUESTIONNAIRE,11643
1,1674074037610,18/01/2023 20:33:57,1674074037423,-5,18/01/2023 15:33:57,110083,9,questionnaire-faea,,26470265,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074048475,18/01/2023 20:34:08,1674074048339,-5,18/01/2023 15:34:08,110083,9,questionnaire-faea,,26470265,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,2
3,1674074048628,18/01/2023 20:34:08,1674074048341,-5,18/01/2023 15:34:08,110083,9,questionnaire-faea,,26470265,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,3
4,1674074048628,18/01/2023 20:34:08,1674074048341,-5,18/01/2023 15:34:08,110083,9,questionnaire-faea,,26470265,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,5
5,1674074048628,18/01/2023 20:34:08,1674074048341,-5,18/01/2023 15:34:08,110083,9,questionnaire-faea,,26470265,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,END QUESTIONNAIRE,10918
1,1674074044947,18/01/2023 20:34:04,1674074044698,-5,18/01/2023 15:34:04,110083,9,questionnaire-faea,,26470272,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074060091,18/01/2023 20:34:20,1674074059564,-5,18/01/2023 15:34:19,110083,9,questionnaire-faea,,26470272,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,7
3,1674074060532,18/01/2023 20:34:20,1674074059568,-5,18/01/2023 15:34:19,110083,9,questionnaire-faea,,26470272,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,7
4,1674074060532,18/01/2023 20:34:20,1674074059568,-5,18/01/2023 15:34:19,110083,9,questionnaire-faea,,26470272,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,7
5,1674074060532,18/01/2023 20:34:20,1674074059569,-5,18/01/2023 15:34:19,110083,9,questionnaire-faea,,26470272,BLIND,7814313,,complete,dlnafn,3X66WABAJ2TEIEB8TSBHD8ZYD973GU,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,END QUESTIONNAIRE,14871
1,1674074083859,18/01/2023 20:34:43,1674074083774,-5,18/01/2023 15:34:43,110083,9,questionnaire-faea,,26470293,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074088360,18/01/2023 20:34:48,1674074088287,-5,18/01/2023 15:34:48,110083,9,questionnaire-faea,,26470293,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,6
3,1674074088491,18/01/2023 20:34:48,1674074088288,-5,18/01/2023 15:34:48,110083,9,questionnaire-faea,,26470293,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,5
4,1674074088491,18/01/2023 20:34:48,1674074088288,-5,18/01/2023 15:34:48,110083,9,questionnaire-faea,,26470293,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,5
5,1674074088491,18/01/2023 20:34:48,1674074088288,-5,18/01/2023 15:34:48,110083,9,questionnaire-faea,,26470293,BLIND,7814340,,complete,ayzbgp,38F71OA9GZ79Q0NNOQAERM8SCLOMFU,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1600x900,1167x574,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,END QUESTIONNAIRE,4514
1,1674074097178,18/01/2023 20:34:57,1674074096527,-6,18/01/2023 14:34:56,110083,9,questionnaire-faea,,26470302,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x929,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074109282,18/01/2023 20:35:09,1674074108803,-6,18/01/2023 14:35:08,110083,9,questionnaire-faea,,26470302,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x929,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD1,6
3,1674074109451,18/01/2023 20:35:09,1674074108805,-6,18/01/2023 14:35:08,110083,9,questionnaire-faea,,26470302,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x929,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD2,6
4,1674074109451,18/01/2023 20:35:09,1674074108805,-6,18/01/2023 14:35:08,110083,9,questionnaire-faea,,26470302,BLIND,7814316,,complete,eehvtk,3S06PH7KSXFFWRN24YWQJUH42XDD12,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x929,,Perceived Gender/Racial Discrimination,1,NonBlackIdentity,No,PGRD3,5
