Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
1,1.67407E+12,18/01/2023 20:31:44,1.67407E+12,-6,18/01/2023 14:31:44,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1.67407E+12,18/01/2023 20:32:03,1.67407E+12,-6,18/01/2023 14:32:02,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,SDO1,1
3,1.67407E+12,18/01/2023 20:32:03,1.67407E+12,-6,18/01/2023 14:32:02,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,SDO2,1
4,1.67407E+12,18/01/2023 20:32:03,1.67407E+12,-6,18/01/2023 14:32:02,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,SDO3,7
5,1.67407E+12,18/01/2023 20:32:03,1.67407E+12,-6,18/01/2023 14:32:02,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,SDO4,7
6,1.67407E+12,18/01/2023 20:32:03,1.67407E+12,-6,18/01/2023 14:32:02,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,SDO5,7
7,1.67407E+12,18/01/2023 20:32:03,1.67407E+12,-6,18/01/2023 14:32:02,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,SDO6,1
8,1.67407E+12,18/01/2023 20:32:03,1.67407E+12,-6,18/01/2023 14:32:02,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,SDO7,7
9,1.67407E+12,18/01/2023 20:32:03,1.67407E+12,-6,18/01/2023 14:32:02,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,SDO8,7
10,1.67407E+12,18/01/2023 20:32:03,1.67407E+12,-6,18/01/2023 14:32:02,110083,9,questionnaire-r27q,,26470192,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,"Social Dominance Orientation (SDO7) - Ho et al., 2015",1,NonBlackIdentity,No,END QUESTIONNAIRE,18400
